,Unnamed: 0,Title,City,MinSalary,MaxSalary,company,Date,Expirience,Employment,Work_schedule,Descriptions,Duties,Requirements,Terms,Key_skills,Days
34,34,Sales manager,Новосибирск,60000.0,73333.0,Тендервин,2021-01-12T15:47:44+0300,От 1 года до 3 лет,Полная занятость,Полный день,  Ты успешен в сфере продаж и готов работать на результат?  ,,,, Холодные продажи; Управление продажами; B2B Продажи; Прямые продажи; Активные продажи; Холодные звонки; Поиск и привлечение клиентов; Развитие ключевых клиентов; CRM; Развитие продаж; Ведение переговоров; Навыки переговоров; Навыки презентации; Корпоративные продажи; Навыки продаж; Грамотная речь; телефонные продажи; B2C продажи; Консультативные продажи; Start-up project; Проведение презентаций; Телефонные переговоры;,0
36,36,Sales manager,Новосибирск,30000.0,70000.0,Бизнес и Технологии,2021-01-13T11:46:44+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа,  В крупную ИТ-компанию открыта вакансия-Менеджер продаж  ,"   Работа с существующими клиентами   Выстраивание долгосрочных взаимовыгодных отношений с новыми клиентами (средний бизнес)   Подготовка КП, заключение договоров, продажа и сопровождение проектов по автоматизации бизнеса   ","   Высшее образование   Опыт работы в продажах услуг от года   Клиентоориентированность, обучаемость, активность   ","   Официальное трудоустройство в штат компании   Комфортный современный офис в центральном районе, возможность работать удаленно   Уровень дохода: 30000+%   Обучение внутри компании (примерно 2 недели)   Возможность профессионального и карьерного роста!   Работа в молодом и дружном коллективе!   ", Активные продажи; Клиентоориентированность; Заключение договоров; Развитие продаж; Пользователь ПК;,0
37,37,Project manager,Новосибирск,80000.0,100000.0,Greenway,2021-01-12T08:14:02+0300,От 3 до 6 лет,Полная занятость,Полный день,"  Для контроля качества исполнения проектов Компании, ищем в свою команду project менеджера.   ",,,, Работа в команде; Scrum; MS Project; Английский язык; Разработка технических заданий;,0
38,38,Project manager,Новосибирск,30000.0,60000.0,Zimalab,2021-01-12T07:09:47+0300,Нет опыта,Полная занятость,Полный день, Ищем кандидата на позицию Junior Project Manager. Интересная и развивающая работа для ответственного человека в сфере IT и знающего английский на уровне Advanced. ,, - Advanced English (письменный + разговорный) ,, Английский язык; Деловая переписка; Управление проектами;,0
39,39,Sales manager,Новосибирск,42833.0,73333.0,Azoft,2021-01-14T06:38:46+0300,От 1 года до 3 лет,Полная занятость,Гибкий график," Почти 18 лет компания Azoft работает на рынке международного IT-аутсорсинга, предоставляя услуги разработки компьютерного и мобильного ПО для компаний по всему миру. Наши клиенты - компании из США , Европы, Австралии, России и др. Мы ищем партнера в нашу команду, умеющего видеть возможности и воплощать их в жизнь. ",,,, B2B Продажи; Активные продажи; CRM; Навыки продаж; Поиск и привлечение клиентов; Прямые продажи; Оценка потребностей клиентов;,0
40,40,Project manager,Новосибирск,66666.0,126000.0,Смарт консалтинг,2021-01-14T12:51:51+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа," Вакансия открыта в группе продуктового направления  Digit Государственное управление.  Команда занимается крупными, индивидуальными проектами под Федеральных заказчиков. Сейчас делаем комплексную систему из нескольких больших компонентов: есть внешний портал и ведомственная система, интеграции с ЕПГУ и многими др. системами. Используется функционал разных наших продуктов и дописывается индивидуально под клиента. ",,,, CSS; HTML; Проектирование пользовательских интерфейсов; MS Visio; Управление временем; опыт работы с внешним заказчиком;,0
41,41,Sales manager,Новосибирск,27000.0,30000.0,N1.RU,2021-01-13T11:23:46+0300,От 1 года до 3 лет,Полная занятость,Полный день,  Департамент продаж  - одно из ключевых подразделений в N1.RU! ,,,, CRM; Клиентоориентированность; Интернет-реклама; Пользователь ПК; Консультирование;,0
42,42,другие,Новосибирск,,,Адлайм,2021-01-13T12:55:01+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа," В динамичную IT-компанию с 11 летней историей, в связи с расширением штата сотрудников, требуется оператор колл-центра. Работа полностью удаленная. Мы ищем энергичного, самоорганизованного, позитивного сотрудника, который любит и хочет развиваться в сфере продаж, работать в режиме непрерывного профессионального роста и достичь материального благополучия. ",,,"     Удаленная работа оператором колл-центра это работа из любой точки мира, ты не привязан к месту (нужен только скоростной интернет);       Предоставляем все необходимые инструменты для работы: удаленный доступ к системе, корпоративная почта, IP- телефония;       Заработная плата от 20000 (оклад+%).       Всегда своевременная выплата заработной платы;       Прозрачная система мотивации;       График работы 5/2, 10.00-19.00 или 09.00 - 18.00;       Обучение с наставником;       Современные инструменты для работы (максимальная автоматизация процессов, скрипты звонков). Никакой “ручной” работы;       Возможность карьерного роста;       Адекватное руководство;       Молодой, драйвовый коллектив;       Оперативное решение всех возникающих вопросов;     ", Активные продажи; Холодные продажи; Телефонные переговоры; Пользователь ПК; Администрирование сайтов;,0
43,43,IT manager,Новосибирск,30000.0,30000.0,Productivity Inside,2021-01-12T11:02:46+0300,Нет опыта,Полная занятость,Полный день,"  Productivity Inside  - IT компания, создающая высокотехнологичные продукты. Мы разрабатываем приложения для развлечения, отдыха, работы и творчества, а также сложные и интересные IT решения для улучшения жизни пользователей. Также мы производим игры различных категорий в 2D, 3D графиках, написанные на нативных языках программирования. ",,,, Английский язык; Написание текстов; Локализация продукта; Подбор ключевых слов; ASO; Итальянский язык;,0
44,44,Project manager,Новосибирск,66666.0,126000.0,Лаборатория качества,2021-01-13T18:06:39+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа,"  Одно из направлений деятельности ""Лаборатории Качества"" - профильное обучение специалистов в сфере тестирования ПО. Уже много лет наша компания создает собственные обучающие программы, а также готовит курсы совместно с порталом Software-Testing.ru. Мы не стоим на месте и хотим выйти на новый уровень экспертности в направлении обучения, поэтому прямо сейчас находимся в поиске проактивного и целеустремленного руководителя в наш департамент образовательных технологий и тренингов.  ",,,, Коммуникативные навыки; Дистанционное обучение; Обучение и развитие; Управленческие навыки; Работа в команде; Мотивация персонала; Проведение презентаций; Организация тренингов; Управление проектами;,0
